DE;EN;DA;ES;CS;SV;
Anzeige Jobliste;Show RTM Order;-;-;-;-;
Anzeige Kavitaet;Show cavity;-;-;Ukazatel násobnosti;Visning kavitet;
Anzeige Masch. wechseln;Show machine change;-;-;-;-;
Anzeige Maschinen in Gruppenübersicht;Show machine in group display;-;-;Ukazatel stroju ve skupinách;Visning maskin i gruppöversikt;
Anzeige Maschinengruppenauswahl;Show machine groups choice;-;-;-;-;
Anzeige Maschinewechsel beim Starten;Show machine change at start;-;-;-;-;
Anzeige Materialwechsel;Show material change;-;-;-;-;
Anzeige Menuepunkte;Show menu;-;-;-;Visning menypunkter;
Anzeige nur Stillstände;Show only downtimes;-;-;-;-;
Anzeige Peripherietest;Show periphery test;-;-;-;-;
Anzeige Taktzeit;Show cycle time;-;-;Ukazatel cyklu;Visning takttid;
Anzeigen;Displays;-;-;Ukazatele;Displayer;
Anzeigeoptionen;Display options;-;-;-;Displayoptioner;
Anzeigeruckstellung (sek;Display reset;-;-;-;Displayåterställning (sek;
Applikation nicht freigeschaltet;Application not available;-;-;Aplikace nebyla uvolnena;Applikation ej frisläppt;
Apr;Apr;-;-;-;Apr;
April;April;-;Abril;Duben;April;
Arbeitsanweisung;Order instruction;-;-;Pracovní postup;Arbetsanvisningar;
Arbeitsfrei;Idle period;Arbejdsfri;-;-;Arbetsfri;
Arbeitsfrei Werkspl;Idle period plant cal.;-;-;-;Arbetsfri verksplanering;
Arbeitsfrei Werksplanung;Idle period plant calendar;-;Planificación laboral sin trabajo;-;Arbetsfri verksplanering;
ARBEITSFREI WERKSPLANUNG;IDLE WORK PLANNING;ARBEJDSFRI WÆRKPLANLÆGNING;-;Plánované pracovní volno;ARBETSFRI VERKSPLANERING;
Arbeitsgang;w/o level;Arbejdsgang;-;Pracovní operace;Arbetsgång;
Arbeitsgang manuell freigeben;Manually release stage of work;-;-;Zadat rucne pracovní operaci;Frisläpp arbetsgång manuellt;
Arbeitsgang-Nr;w/o level no;-;-;Císlo pracovní operace;Arbetsgångnr.;
Arbeitsgänge;w/o levels;Arbejdsgange;-;Pracovní operace;Arbetsgångar;
Arbeitsgänge mit dem NC-Programm ~0~ können nicht freigegeben werden;w/o levels with NC-program ~0~ can't be released;-;-;-;Arbetsgångar med NC-programmet ~0~ kan ej frisläppas;
Archiv;Archive;Arkiv;Archivo;-;Arkiv;
Array;Array;-;-;-;Array;
Art;Type;Emne;-;Druh;Typ;
Artikel;Part;Emner;Artículo;Druh výrobku;Vara;
Artikel / Karton ist;Parts / carton is;-;-;Výrobek/Karton skutecný;Varor / kartong är;
Artikel / Werkzeug;Part / Mold;-;Artículo / Herramienta;Výrobek/Nástroj;Varor / verktyg;
Artikel Anzahl eingeben;Input no of parts to print;-;-;-;-;
Artikel Auftrag;Parts job;-;-;-;Varu-uppdrag;
Artikel Auftrag/Schicht;Parts job/shift;-;-;-;Varu-uppdrag/skift;
Artikel bearbeiten;Edit part no;Editere emne;-;Zpracovat výrobek;Redigera vara;
Artikel buchen;Book part no;Scheduler emne;-;Uložit výrobek;Boka vara;
Artikel eingeben;Enter part no;Opret emne;-;Zadat výrobek;Mata in vara;
Artikel Einstelldaten;Part setup data;Emneindstillingsdata;-;Serizovací data o výrobku;Varu-inställningsdata;
Artikel erfolgreich gebucht;Parts successfully booked;-;-;Výrobek byl úspešne uložen;Varan har bokats framgångsrikt;
Artikel erfolgreich verbucht;Part successfully booked;-;-;Výrobek byl úspešne zapsán;Varan har förbokats framgångsrikt;
Artikel gesamt;Total parts;-;-;Výrobek celkem;Varor totalt;
Artikel in Stammdaten nicht gefunden;Part not in master data;-;-;-;-;
Artikel kopieren;Copy part no;Kopier emne;-;Výrobek kopírovat;Kopiera vara;
Artikel log;Part log;-;-;-;-;
Artikel löschen;Delete part no;-;-;Výrobek smazat;Radera vara;
Artikel manuell buchen;Book parts manually;Manuell registrering af Emne;-;Výrobek zadat rucne;Boka vara manuellt;
Artikel manuell buchen (Istmengen;Book parts manuelly (ACT amounts;-;-;-;-;
Artikel nachbuchen;Post-book parts;Efterbooke emne;-;-;Efterboka vara;
Artikel nachbuchen (Istmengen;Postbooking parts (ACT amounts;-;-;-;-;
Artikel Notizen;Part notes;-;-;-;-;
Artikel pro Karton;Parts/carton;Antal emner pr. karton;-;Pocet výrobku v kartonu;Varor per kartong;
Artikel Produktion;Parts production;-;-;-;-;
Artikel produziert auf;Parts produced on;-;-;Výrobek se vyrábí na;Vara producerad på;
Artikel Schicht;Parts shift;-;-;-;Varu-skift;
Artikel speichern;Save part no;-;-;Výrobek uložit;Spara vara;
Artikel Stammdaten;Part no master files;Emnestamdata;-;Kmenová data o výrobku;Varu-stamdata;
Artikel-Bezeichnung;Part-description;-;-;Popis výrobku;Varubeteckning;
Artikel-Etikett;Part-label;-;-;Výrobek-Etiketa;Varu-etikett;
Artikel-Etiketten;Part-labels;-;-;-;Varu-etiketter;
Artikel-Nr;#Part;Emnenr.;N° de artículo;Císlo výrobku;Varunummer;
Artikel-Nr. alt;Part no old;-;-;-;Varunummer gammalt;
Artikel-Nr. bereits vorhanden;Part no already exists;-;-;Císlo výrobku již k dispozici;Varunummer existerar redan;
Artikel-Nr. eingeben;Enter part no;-;-;Zadat císlo výrobku;Mata in varunummer;
Artikel-Nr. ist nicht vorhanden;Part no does not exist;-;-;Císlo výrobku není k dispozici;Varunummer existerar ej;
Artikel-Nr. mit Text;Part no. with text;-;-;Císlo výrobku s textem;Varunummer med text;
