DE;EN;DA;ES;CS;SV;
Solltaktstr;SetCycleStr;-;-;-;Bör-taktstr;
Solltaktzeit;STD cycle;-;-;-;Bör-takttid;
Solltaktzeit [s;STD cycle [s;-;-;-;Bör-takttid [s;
Sollvorgabe;STD value;Bør-værdi;-;-;Bör-normalvärde;
SOLLVORGABE;STD VALUE;-;SETDEFAULT;-;BÖRNORMALVÄRDE;
Sollvorgabeint;STD value int;-;-;-;-;
Sollwert;Quantity;Bør-mængde;Valor débito;-;Bör-värde;
Sollwert [Kg;STD value [Kg;Bør-værdi [Kg;-;-;Bör-värde [kg;
Sollwert eingeben;Enter STD value;-;Introducir valor débito;-;Mata in Bör-värde;
SOLLWERT_HEIZZONE;STD VALUE_HEATINGZONE;BØRVÆRDI_VARMEZONE;-;-;BÖRVÄRDE_VÄRMEZON;
SOLLWERT_NACHDRUCK;STD VALUE_POST PRESSURE;Bør-værdi_EFTERTRYK;-;-;BÖRVÄRDE_EFTERTRYCK;
SOLLWERT_SPRITZDRUCK;STD VALUE_INJECTION PRESSURE;Bør-værdi_SPRØJTETRYK;-;-;BÖRVÄRDE_SPRUTTRYCK;
Sollwert-Vorgabe;STD quantity;Bør-værdi;-;-;Bör-värde;
Sollwerte ändern;Change STD values;-;-;-;-;
Sollwerte und Toleranzen;STD values and tolerances;-;-;-;Bör-värden och toleranser;
SOLLZEIT;STD TIME;-;-;-;BÖRTID;
Sollzeit;STD TIME;-;-;-;Bör-tid;
Sollzeit[h;STD time [h;-;-;-;-;
Sonderfreigabe bei Qualitätsabweichung nach Kundenrücksprache;Special release at quality deviation following customer consultation;-;-;-;Speciell frisläppning vid kvalitetsavvikelser efter samrådan med kund;
Sonntag;Sunday;Søndag;Domingo;-;Söndag;
Sonstiges;Other;Andre;Otros;-;Övrigt;
Sort Zustandpanel;Sort condition panel;-;-;-;Sort tillståndspanel;
Sort_machine panel;Sort machine panel;-;-;-;Sort_maskin panel;
SORT_MASCHPANEL;SORT_MACHPANEL;-;-;-;SORT_MASKPANEL;
Sort_maschpanel;Sort_machine panel;-;-;-;Sort_maskpanel;
Sortierfilter;Sort filter;-;-;-;Sorteringsfilter;
Sortierreihenfolge Maschinenanzeige;Sort order machine view;-;-;-;Ordningsföljd sortering maskinvisning;
Sortierung;Sorting;-;-;-;Sortering;
Sortierung Maschinenpanel;Sort machine panel;-;-;-;Sortering maskinpanel;
Space;Space;-;-;-;Mellanslag;
Space - Abmelden;Space - deregister;-;-;-;Mellanslag - avloggning;
SPACE - Alle Aufträge;SPACE - all jobs;-;-;-;MELLANSLAG - alla uppdrag;
SPACE - Markieren;SPACE - mark;SPACE - marker;-;-;MELLANSLAG - markera;
SPACE] - Auftrag abschliessen;SPACE] - close oder;-;-;-;MELLANSLAG] - stänga uppdrag;
spanisch;spanish;-;-;-;spanska;
Spanisch;Spanish;-;-;-;Spanska;
Spann;span;-;-;-;Spänn;
Spannung;Voltage;-;-;-;-;
Spätschicht;Late shift;Aftenskift;-;-;Kvällsskift;
SPC;SPC;-;-;-;SPC;
SPC Daten;SPC Data;-;-;-;-;
SPC Einstellungen;SPC settings;SPC indstilling;-;-;SPC inställningar;
SPC für jeden;SPC for every;-;-;-;-;
SPC Jobs anzeigen;Show SPC jobs;-;-;-;SPC visa jobb;
SPC Setup;SPC Setup;-;-;-;SPC inställning;
SPC Signal;SPC Signal;-;-;-;SPC signal;
SPC Signal Aktiv;SPC signal Aktiv;-;-;-;SPC signal aktiv;
SPC Toleranzabweichnung;SPC tolerance fault;-;-;-;-;
SPC_SIGNAL;SPC_SIGNAL;-;-;-;-;
SPC-Auftragberechnung erfolgreich durchgeführt;SPC-Jobcalculation successful proceed;-;-;-;SPC-uppdragsberäkning har genomförts framgångsrikt;
SPC-Auftragsstatistik;SPC-Job statistics;-;-;SPC - Statistika o zakázkách;SPC-uppdragsstatistik;
SPC-Grafik;SPC-Graphic;-;-;-;SPC-grafik;
SPC-Meldungen;SPC-Messages;-;-;-;-;
SPC-Schichtberechnung erfolgreich durchgeführt;SPC-Shiftcalculation successful proceed;-;-;-;SPC-skiftberäkning har genomförts framgångsrikt;
SPC-Schichtwechsel;SPC-change of shift;-;-;-;SPC-skiftbyte;
SPC-Signal testen;Check SPC-Signal;-;-;-;Testa SPC-signal;
SPC-Sollwerte lesen: keine Sollwerte gefunden;SPC-Setvalues read: no set values found;-;-;-;Läsa SPC-Börvärden: Börvärden kunde ej hittas;
SPC-Sollwerte lesen: Sollwerte wurden übernommen;SPC-Set values read: Set values accapted;-;-;-;Läsa SPC-Börvärden: Börvärden har accepterats;
SPC-Stichproben;SPC spot check;SPC-stikprøve;Pruebas SPC;-;SPC-stickprov;
SPC: Abweichung;SPC deviation;-;-;-;-;
Speed;Speed;-;-;-;Hastighet;
speichern;save;-;-;-;spara;
Speichern;Save;Gemme;-;-;Spara;
Speichern / Schließen;Save/Close;-;-;-;Spara / stänga;
Speichern als Standard;Save as standard;-;-;-;Spara som standard;
Speichern Sie geg. Ihre Arbeit;Save your work;-;-;-;Spara ditt arbete;
Speichern unter;Save as;-;-;-;Spara som;
Speicheroptionen;Save settings;-;-;-;-;
Speicheroptionen einstellen;Setup storage options;-;-;-;Ställa in optioner för spara;
Speicherung;Memory;-;-;-;Säkring;
Speicherzyklus frei definieren;Freely define saving cycle;-;-;-;Definera säkringscykeln fritt;
Sperrezeit;Idle period;-;-;-;Spärrtid;
Spezifikationen;Specification;-;-;-;Specifikation;
Spezifikationen Speichern;Save specification;-;-;-;Spara specifikationer;
Splitten;split;-;-;-;-;
splitten;split;-;-;-;-;
Sprache;Language;Sprog;-;-;Språk;
Spracheinstellung;Language setup;-;-;-;Språkinställning;
Spritz;Injection;Sprøjt;-;-;Sprut;
Spritzdruck;Blowpressure;Sprøjtetryk;-;-;Spruttryck;
Spritzgeschw;Injection speed;-;-;-;Spruthastighet;
SQL Abfragen;SQL queries;-;-;-;-;
SQL Befehl;SQL Query;-;-;-;-;
SQL Korrekturen;SQL Correction;-;-;-;-;
SQL-Abfrage;SQL-query;-;SQL-inquiry;-;SQL-förfrågan;
SQL-Abfrage erstellen;Create SQL-query;-;-;-;Skapa SQL-förfrågan;
SQL-Fehler;SQL-fault;-;-;-;SQL-fel;
SQL-Nr;SQL-No;;;;;
St./h;pcs/h;-;-;-;St/h;
Stamm;Master;-;-;-;;
Stammdaten;Master files;Stamdata;-;-;Stamdata;
Stammdaten aktualiseren;Update master files;-;-;-;Aktualisera stamdata;
Stammdaten aktualisieren;Update master files;-;-;-;Aktualisera stamdata;
Stammdaten einlesen;Read master files;Indlæs stamdata;-;-;Läsa in stamdata;
Stammdaten nicht editierbar;Master data files read only;-;-;-;Stamdatan kan ej redigeras;
Stammdaten updaten;Update customer data;-;-;-;Aktualisera stamdatan;
Standard;Standard;-;-;-;Standard;
Standard 32 Masch;Standart 32 mach;-;-;-;Standard 32 mask;
Standard 48 Masch;Standard 48 mach;-;-;-;Standard 48 mask;
Standard Einstellungen;Standard settings;-;-;-;Standardinställningar;
Standard laden;Load standard;-;-;-;Ladda standard;
Standard Signale laden;Load standard signals;-;-;-;Ladda standardsignaler;
Standardeinstellung laden;Load standard settings;Indlæse standardindstillinger;-;-;Ladda standardinställning;
Standardstillstände hinzufügen;add default downtimes;-;-;-;Infoga standardstillestånd;
Standardwerte setzen;Set default values;-;-;-;Sätta standardvärden;
Standart;Standard;-;-;-;Standard;
Standort;Location;Placering;-;-;Position;
STANDORT;LOCATION;-;-;-;POSITION;
Standort bearbeiten;Edit location;-;-;-;Redigera position;
Standort eingeben;Enter location;-;-;-;Mata in position;
Standort existiert schon;Location exists;-;-;-;Position existerar redan;
Standort löschen;Delete location;-;-;-;Radera position;
Standort Maschine;Location machine;-;-;-;Maskinens position;
Standort neu;New location;-;-;-;Ny position;
Standort umbenennen;Rename location;-;-;-;Obenämna position;
Standort/Gruppe;Location/group;-;Lugar/grupo;-;Position/grupp;
Standortbezeichnung existiert als Gruppenname;Location exists as group name;-;-;-;Positionsbeteckning existerar som gruppnamn;
Standorte;Locations;-;-;-;Positioner;
Standortid;Location No;-;-;-;PositionsID;
STANDORTID;LOCATIONID;-;-;-;POSITIONSID;
Standzeit;Lifetime;Holdbarhed;-;-;Ståndtid;
Standzeit [Schuss;Lifetime [Shot;-;-;-;Ståndtid [skott;
Standzeit abgelaufen;Lifetime expired;-;-;-;Ståndtiden går ut;
Standzeit eingeben;Enter lifetime;-;-;-;Mata in ståndtid;
Standzeit zurücksetzen;Reset lifetime;-;-;-;Återställ ståndtid;
Stapelgröße (Kopien pro Etikett;Stack size (copy per label;-;-;-;Stapelstorlek (kopior per etikett;
Stapelgröße eingeben;Enter stack size;-;-;-;Matain stapelstorlek;
Start;Start;-;-;-;Start;
Start alt;Old start;Gammel start;-;-;Gamml start;
Start Datum;Start date;start dato;-;-;Start datum;
Start Etiketten Nr angeben;Please input start no of label;-;-;-;-;
Start größer Ende. Bitte Eingabe prüfen;Start greater than end. Please check entry;-;-;-;Start större än slutet. Kontrollera inmatningen;
Start neu;New start;Ny start;-;-;Ny start;
Start OK. Auftrag gestartet;Start OK. Job is started;-;-;-;-;
Start- Endedatum änderbar;Start and end date changeble;-;-;-;Sat-/slutdatum kan förändras;
Start- Endedatum bearbeiten;Process start- end date;-;-;-;-;
Startadresse;Startadress;-;-;-;Startadress;
Startbit eingeben;Enter startbit;-;enter startbit;-;Mata in startbit;
Startbyte eingeben;Enter startbyte;-;enter startbyte;-;Mata in startbyte;
Startdatum;Start date;startdato;-;-;Startdatum;
Startdatum bearbeiten;Edit startdate;-;-;-;Redigera startdatum;
Startdatumstr;Start date strg.;-;-;-;-;
Startdatumzeit;Start date;-;-;-;Startdatumtid;
starten;start;-;-;-;starta;
Starten;Start;start;Iniciar;-;Starta;
Starter;Starter;-;-;-;Startare;
Startfehler;Start fault;-;-;-;Startfel;
Starttermin;Start date;-;-;-;Startdatum;
STARTTERMIN;STARTDATE;-;-;-;STARTDATUM;
Starttermin bearbeiten;Edit start date;-;-;-;-;
Starttermin wählen;Select start date;-;-;-;Välj startdatum;
Startzeit;Start time;-;-;-;-;
STATION;STATION;-;-;-;STATION;
Statistik;Statistics;statestik;-;-;Statistik;
Statistiken;Statistics;statestikker;-;-;Statistiker;
Statistiken - Auftragsstatistik;Statistics - job statistics;-;-;-;Statistiker - uppdragsstatistik;
Statistiken - Produktionsprotokoll;Statistics - production log;-;Statistics - produnction log;-;Statistiker - produktionsprotokoll;
Statistiken - Produktionsstatistik;Statistics - production statistics;-;-;-;Statistiker - produktionsstatistik;
Statistische Prozesskontrolle (online;Statistic process control (online;-;-;-;Statistisk processkontroll (online;
Status;Status;-;-;-;Status;
STATUS;STATUS;-;-;-;STATUS;
Status buchen;Book dt. status;-;-;-;Status boka;
Status der Nachberechnung abfragen;Status for Recalculation;;;;;
Statusexakt;Status exact;-;-;-;Exakt status;
Stck. / Teil;Pieces / Part;-;-;-;-;
Std;Std;-;-;-;-;
STD;STD;-;-;-;-;
STD Takt;-;-;-;-;-;
STD-Taktzeit [s;STD-Cycletime [s;-;-;-;-;
Std. Abw;Std. var.;-;-;-;Std. avv.;
Std. Kav;Std. Cav;-;-;-;-;
steht;down;-;-;-;står;
Steht;Down;-;-;-;-;
steht an;pending;-;-;-;-;
Stichproben;samples;-;-;-;Stickprov;
Still Grund;DT Reason;-;-;-;-;
Stillst. Ende;DT Stop;-;-;-;-;
Stillst. Start;DT Start;-;-;-;-;
Stillstand;Downtime;Stilstandstid;Interrupción;-;Stillestånd;
Stillstand ab jetzt buchen;Book downtime from now;-;-;-;-;
Stillstand aktualisieren;Downtime reading;-;-;-;Aktualisera stillestånd;
Stillstand Auftrag Detail;Downtime job detail;-;-;-;Stillestånd uppdrag detalj;
Stillstand Auftrag gesamt;Total downtime job;-;Downtime job overall;-;Stillestånd uppdrag totalt;
Stillstand bearbeiten;Edit downtime;-;-;-;Redigera stillestånd;
Stillstand bei Werkskalender Arbeitsfrei;Downtime when plantcalendar idle period;-;-;-;Stillestånd vid verkskalender arbetsfri;
Stillstand bereits vorhanden;Downtime code already exists;-;-;-;-;
Stillstand buchen;Book dt. code;Bogfør stoptid;Reservar bloqueo;-;Boka stillestånd;
Stillstand eingeben;Input downtime;;;;;
Stillstand gebucht;Downtime booked;Stoptid bogført;-;-;-;
Stillstand geht;Downtime stop;Stilstandstid slut;-;-;Stillestånd slut;
Stillstand kann nicht gebucht werden;Impossible to book downtime;-;-;-;Stillestånd kan ej bokas;
Stillstand kommt;Downtime start;Stilstandstid begynder;-;-;Stillestånd start;
Stillstand löschen;Delete downtime code;-;-;-;-;
Stillstand M;Downtime M;Stilstand M;-;-;Stillestånd M;
Stillstand neu;New downtime;-;-;-;Nytt stillestånd;
Stillstand nicht gebucht;Downtime not booked;-;-;-;Stillestånd ej bokat;
Stillstand nicht gefunden;Downtime not found;-;-;-;Stillestånd kunde ej hittas;
Stillstand nicht vorhanden;Downtime does not exist;-;-;-;-;
Stillstand Nr;Downtime No;-;-;-;-;
Stillstand schon vergeben;Downtime already exists;Stilstandsgrund er registreret;Bloqueo ya adjudicado;-;Stillestånd redan registrerat;
Stillstand speichern;Save downtime;Gem Stilstandsgrund;-;-;Spara stillestånd;
Stillstand splitten;Split downtime code;-;-;-;-;
Stillstand überschneidet sich mit vorhandenem;Downtime has conflict with prior;-;-;-;Stillestånd sammanfaller med existerande;
STILLSTAND_GEHT;DOWNTIME STOP;-;DOWNTIME_STOP;-;STILLESTÅND_SLUT;
Stillstand_grund;Downtime code;-;Motivo de bloqueo;-;Stillestånds_orsak;
STILLSTAND_KOMMT;DOWNTIME START;-;DOWNTIME_START;-;STILLESTÅND_START;
Stillstand-Nr;Downtime-No;-;-;-;-;
Stillstände;Downtimes;Stilstande;Bloqueos;-;Stillestånd;
Stillstände - Hitparade;Downtime hitlist;-;Downtime - hitparade;-;Stillestånd - topplista;
Stillstände [min;Downtimes [min;-;-;-;-;
Stillstände <= 1 Minute löschen;Delete downtime <= 1 minute;-;-;-;-;
Stillstände an;Downtime at;-;-;-;Stillestånd vid;
Stillstände bei Arbeitsfrei Werkskalender;Downtime in plantcalendar idle period;-;-;-;Stillestånd vid arbetsfri verkskalender;
Stillstände betroffen;Downtime affected;-;-;-;Stillestånd berörd;
Stillstände buchen;Book downtime;Indtast Stilstandsgrund;Reservar bloqueo;-;Boka stillestånd;
Stillstände der letzten;Downtime of the last;-;-;-;Stillestånd de senaste;
Stillstände der Schicht;Stopages in this shift;Stilstande i skift;-;-;Stillestånd per skift;
Stillstände filtern;Filter down time;Filtrere Stilstandsgrund;-;-;Filtra stillestånd;
Stillstände im Betrachtungszeitraum;Downtimes in review period;-;-;-;-;
Stillstände konvertieren;Convert downtimes;-;convert downtimes;-;Konvertera stillestånd;
Stillstände M;Downtime M;-;Bloqueo M;-;Stillestånd M;
Stillstände Maschine X;Downtime machine X;-;-;-;Stillestånd maskin X;
Stillstände nachbuchen;Post-book downtime;-;-;-;Efterboka stillestånd;
Stillstände per Hand nachbuchen und ändern;Book and change downtimes manually;-;-;-;Efterboka eller ändra stillestånd manuellt;
Stillstände zum Drucken;Downtimes to print;-;-;-;Stillestånd för utskrift;
STILLSTANDKEY;DOWNTIMEKEY;-;-;-;STILLESTÅNDSNYCKEL;
STILLSTANDNR;DOWNTIMENO;-;-;-;STILLESTÅNDSNR;
StillstandNr_SPS;DowntimeNo_SPS;-;-;-;Stilleståndsnr_SPS;
Stillstandsberechnung 24h von 0:00 bis;Downtimecalculation 24h from 0:00 to;-;-;-;Stilleståndsberäkning 24h från 0:00 till;
Stillstandsbezeichnung;Downtime code;-;-;-;-;
Stillstandsbuchung über Text;Downtime booking via text;-;-;-;Stilleståndsbokning via text;
Stillstandsgrund;Downtime code;Stilstandsgrund;Motivo del bloqueo;-;Orsak för stillestånd;
Stillstandsgrund anlegen;Input downtime code;-;Crear motivo de bloqueo;-;Skapa stilleståndsorsak;
Stillstandsgrund anlegen/bearbeiten;Input/edit downtime code;-;Crear/Editar motivo de bloqueo;-;Skapa/redigera stilleståndsorsak;
Stillstandsgrund BCD-Schalter;Downtime code BCD-Switch;-;-;-;Stilleståndsorsak BCD-brytare;
Stillstandsgrund eingeben;Input downtime code;-;-;-;-;
Stillstandsgrund nicht definiert;Downtimereason no definido;-;motivo de bloqueo not defined;-;Stilleståndsorsak ej definerad;
Stillstandsgrund nicht gefunden;Downtime code not found;-;No se ha identificado el motivo del bloqueo;-;Stilleståndsorsak kunde ej hittas;
Stillstandsgründe;Downtime codes;-;Motivo de bloqueo;-;Stilleståndsorsaker;
Stillstandsgründe manuell buchen;Man. booking downtime codes;-;-;-;-;
STILLSTANDSGRUNDNR;DOWNTIMEREASONNO;-;DOWNTIMEreasonNO;-;STILLESTÅNDS-ORSAKNR;
Stillstandsmeldung;Downtime message;-;-;-;-;
Stillstandsprotokoll;Downtime log;Stilstandsprotekol;Bloqueo madero;-;Stilleståndsprotokoll;
Stillstandsübersicht Auftrag;Downtime/job;-;Downtimeoverview job;-;Stilleståndsöversikt uppdrag;
Stillstandsverluste;Downtime wastages;-;-;-;Stilleståndsförluster;
Stillstandsverluste - Maschinen;Downtime wastages - machine;-;-;-;Stilleståndsförluster - maskiner;
STILLSTANDSZEIT;DOWNTIME;-;-;-;STILLESTÅNDSTID;
Stillstandszeit;Downtime;-;-;-;-;
Stillstandzeit [h:min;Downtime [h:min;-;-;-;-;
Stk;Pcs;-;-;-;-;
Stop;Stop;-;-;-;Stopp;
Stop-bit;Stop-bit;-;-;-;Stopp-bit;
STOPS;STOPS;-;-;-;STOPP;
Stops;Stops;Stop;Paradas;-;Stopp;
Stops / lfd. Schicht;Stops / running shift;Stop / løb. Skift;-;-;Stopp / löpande skift;
Stops zum Auftrag;Steps in job;-;-;-;Stopp i uppdrag;
Stops-Anzahl;Sum Stops;-;-;-;Antal stopp;
Störgruppe;DT group;-;-;-;-;
Störquellenermittlung;Fault source determining;-;-;-;Fastställning av störningens källa;
Störung;Downtime;Teknisk problem;Avería;-;Störning;
Störung geht;Downtime stop;-;-;-;Störning stopp;
Störung kommt;Downtime start;-;-;-;Störning start;
Störung~ nicht gebucht;Downtime~ not booked;-;-;-;Störning~ ej bokad;
Störungsgrund;DT code;-;-;-;-;
Strasse;Street;-;-;-;Gata;
STRG + F;Ctrl + F;-;-;-;CTRL+ F;
String;String;-;-;-;Sträng;
Stück;Parts;Stk.;Pieza;-;Styck;
Stück / Karton;pcs / carton;Antal / karton;-;-;Styck / kartong;
Stück gebucht;pcs. Booked;-;-;-;-;
Stück pro Stunde;Parts per hour;-;-;-;Styck per timme;
Stück/Spannung;Part/Voltage;-;-;-;-;
Stück/Vorrichtung;Part/Widget;-;-;-;-;
Stückliste;Partlist;-;-;-;-;
Stückzahl;Produced;Antal;Número de piezas;-;Stycktal;
Stückzahl anzeigen (Neben Auftrag-Nr;Display part number (next to job-No.;-;Display piece number (next to job-No.;-;Visa stycktal (bredvid uppdragsnr.;
Stückzahl bearbeiten;Edit piece counter;-;Edit piececount;-;Redigera stycktal;
Stückzahl bereits erreicht;Parts quantity has been reached;-;-;-;Stycktal redan uppnått;
Stückzahl buchen;Book numbers of parts;-;-;-;Boka stycktal;
Stückzahl gepackt;Sum parts packed;-;-;-;Stycktal packat;
Stückzahl geprüft;Sum proofed parts;-;-;-;Stycktal kontrollerat;
Stückzahl Maschine;Sum parts machine;Antal maskin;-;-;Stycktal maskin;
Stückzahl prüfen;Sum proofed parts;-;check amount;-;Kontrollera stycktal;
Stückzahl verpackt;Sum packed parts;-;-;-;Stycktal förpackat;
Stückzahl/Kilo eingeben;Enter part number/kilo;-;-;-;Mata in stycktal/kilo;
Stückzahl/Verpackt anzeigen;Show sum parts/packed;-;-;-;-;
Stückzahlen;Produced;Antallene;Números de piezas;-;Stycktal;
Stückzahlprotokoll;Part number log;Styktalsrapport;Informe sobre el número de piezas;-;Stycktalsprotokoll;
Stueck gebucht;Parts booked;Antal bogført - ok;-;-;-;
STUECK_NACH_KILO;PARTS_TO_KILO;-;-;-;STYCK_EFTER_KILO;
Stueck_nach_kilo;Parts_to_kilo;-;-;-;Styck_efter_kilo;
STUECKAUFTRAGGESAMT;PCSJOBTOTAL;-;-;-;STYCKUPPDRAGTOTALT;
STUECKAUFTRAGSCHICHT;PCSJOBSHIFT;-;-;-;STYCKUPPDRAGSKIFT;
STUECKGESAMT;PCSTOTAL;-;-;-;STYCKTOTALT;
STUECKMASCHINE;PCSMACHINE;-;-;-;-;
STUECKPACKAUFTRAGGESAMT;PCSPACKJOBTOTAL;-;-;-;STYCKPACKUPPDRAGTOTALT;
STUECKPACKAUFTRAGSCHICHT;PCSPACKJOBSHIFT;-;-;-;STYCKPACKUPPDRAGSKIFT;
STUECKPACKGESAMT;PCSPACKTOTAL;-;-;-;STYCKPACKTOTALT;
STUECKPACKSCHICHT;PCSPACKSHIFT;-;-;-;STYCKPACKSKIFT;
STUECKPREUFGESAMT;PCSCHECKTOTAL;-;-;-;STYCKKONTROLLTOTALT;
STUECKPRUEFAUFTRAGGESAMT;PCSCHECKJOBTOTAL;-;-;-;STYCKKONTROLLUPPDRAGTOTALT;
STUECKPRUEFAUFTRAGSCHICHT;PCSCHECKJOBSHIFT;-;-;-;STYCKKONTROLLUPPDRAGSKIFT;
STUECKPRUEFSCHICHT;PCSCHECKSHIFT;-;-;-;STYCKKONTROLLSKIFT;
STUECKSCHICHT;PCSSHIFT;-;-;-;STYCKSKIFT;
Stueckschicht;Sum parts shift;-;Sum pieces shift;-;Styckskift;
Stueckzahl;Produced;-;-;-;-;
Stufe bearbeiten;Edit w/o level;-;-;-;Redigera steg;
Stufe eingeben;Input w/o level;-;-;-;Mata in steg;
Stufe löschen;Delete w/o level;-;-;-;Radera steg;
Stufe-Nr. schon vorhanden;W/O level still exists;-;Step-No still exists;-;Stegnr. existerar redan;
Stufen;W/O levels;-;-;-;Steg;
Stufenanzahl;Levelamount;-;-;-;-;
Stunde;Hour;-;-;-;Timme;
Stunde:Minute;Hour:minute;Timer:minutter;-;-;Timme:minut;
Stunden;Hours;Timer;Horas;-;Timmar;
Stunden buchen;Book hours;Registrere timer;-;-;Boka timmar;
Suchergebnis;Search result;Søgeresultat;-;-;Sökresultat;
SUM;SUM;-;-;-;SUM;
Summe;Total;-;-;-;-;
Summe Laufzeit;Total Runtime;-;-;-;-;
Summe Stillstände;Total Downtime;-;-;-;-;
Summe[h;Total[h;-;-;-;-;
Support;Support;-;-;-;Support;
SYS;SYS;-;-;-;SYS;
System;System;-;-;-;System;
System ID Kunde;System id customer;-;-;-;-;
System-Stillstände können nicht bearbeitet werden;System downtime can't be processed;Systemstilstande kan ikke bearbejdes;No se pueden recuperar bloqueos del sistema;-;System-stillestånd kan ej bearbetas;
System-Stillstände können nicht gelöscht werden;System downtime can't be deleted;Systemstilstande kan ikke slættes;No se pueden eliminar bloqueos del sistema;-;System-stillestånd kan ej raderas;
System-Stillstände löschen nicht möglich;Not possible to delet system errors;-;-;-;-;
Systemende;End of system;-;end of system;-;System-slut;
Systemhaube;systemcover;-;-;-;System-kåpa;
SystemID ermitteln;Get system id;-;-;-;-;
Systemspezifische Identifikationsnr;systemspecific identificationno;-;-;-;System-specifikt identifieringsnr;
Systemstart;Systemstart;-;-;-;Systemstart;
t;t;-;-;-;t;
T - terminiert aus Grobplanung für Maschine;T - scheduled from raw scheduler for machine;-;-;-;T - terminerat ur grovplaneringen för maskinen;
Tab - Maschine wechseln;Tab - change machine;-;-;-;-;
Tabelle;Table;Tabel;-;-;Tabell;
Tabelle ~Maschine~ nicht vorhanden;table ~maschine~ not found;-;-;-;Tabellen ~maskin~ existerar ej;
Tabelle anpassen;Adjust table;Tilpasse tabel;Ajustar tabla;-;Anpassa tabellen;
Tabelle automatisch aufräumen;Clean up table automatically;-;-;-;Rensa tabellen automatiskt;
Tabelle nicht beschreibbar;Table is read only;-;-;-;Tabellen är ej skrivbar;
Tabelle REPORT nicht gefunden;Table reports not found;-;-;-;-;
Tabelle TPM-Auswertung anpassen;Adjust TPM-evaluation table;-;-;-;Anpassa tabellen TPM-analys;
Tabelle Versions Info nicht vorhanden;Versions Info table does not exist;-;-;-;Tabellen Versions-info existerar ej;
Tabellen;Tables;Tabeller;-;-;Tabeller;
Tabellen / Index erstellen;Create table / index;-;-;-;Skapa tabeller / index;
Tabellen automatisch aktualisieren;Refresh tables automatically;-;-;-;Aktualisera tabeller automatiskt;
Tabellen definieren;Define table;-;-;-;Definera tabeller;
Tabellen Einstellungen [*.dbg]|*.dbg;Table settings [*.dbg]|*.dbg;-;-;-;Tabellinställningar [*.dbg]|*.dbg;
Tabellen erstellen;Setup table;-;-;-;Skapa tabeller;
Tabellen oder Feldnamen nicht gefunden;table or filed name not found;-;-;-;Tabeller eller fältnamn kunde ej hittas;
TABELLENNAME;TABLENAME;-;-;-;TABELLNAMN;
Tabellenname;tablename;-;-;-;Tabellnamn;
Tabellennamen bzw. Feldnamen angeben;specify table or field name;-;-;-;Ange tabellnamn resp. fältnamn;
Tablecreate;-;-;-;-;-;
TableCreate;Create table;-;-;-;Skapa tabell;
TabSheet;TabSheet;-;-;-;-;
Tag;Day;Dag;Día;-;Dag;
Tag: von;Day: from;Dag: fra;Día: de;-;Dag: från;
Tag:Stunde:Minute;Day:hour:minute;dag:timer:minutter;-;-;Dag:Timme:Minut;
Tag. von;Day of;-;-;-;Dag. från;
Tage;Days;dage;Días;-;Dagar;
Tage beibehalten;Keep days;-;-;-;Behåll dagar;
Tage bis Ende;Days till end;-;-;-;Dagar till slutet;
Tage Testversion;days trial version;-;-;-;-;
Tagen;days;-;-;-;-;
Tagestabelle;Day table;-;-;-;Dagstabell;
täglich;daily;-;-;-;dagligen;
täglich (1x) [Uhrzeit;daily (1x) [time;-;-;-;-;
täglich) von;daily) from;-;-;-;dagligen) från;
TAKT;CYCLE;-;-;-;TAKT;
Takt;Cycle;Takt;-;-;Takt;
Takt ist;-;-;-;-;-;
Takt pro Stück;Cycle per part;-;Cycle per piece;-;Takt per styck;
Takt soll;-;-;-;-;-;
Takt_doppelmaschine;Cycle_double machine;-;-;-;Takt_dubbelmaskin;
TAKT_DOPPELMASCHINE;CYCLE_DOUBLEMACHINE;-;-;-;TAKT_DUBBELMASKIN;
TAKT_PRO_STUECK;CYCLE_PER_PIECE;-;-;-;TAKT_PER_STYCK;
Takt-Archiv automatisch löschen;Automatically delete cycle archive;-;-;-;Radera takt-arkiv automatiskt;
Takte speichern;Save cycles;-;-;-;-;
Taktlog;Cycletime log;-;-;-;-;
Taktzählung Blasmaschinen (SPS;Cyclecount blow machines (SPS;-;-;-;Takträkning blåsmaskiner (SPS;
Taktzeit;Cycle time;Cyklustid;-;-;Takttid;
TAKTZEIT;CYCLETIME;-;-;Cyklus;TAKTTID;
Taktzeit (Stamm) [s;Cycletime (Master) [s;-;-;-;-;
Taktzeit [s;Cycletime [s;-;-;-;Takttid [s;
Taktzeit alle;All cycle times;-;-;-;Takttid alla;
Taktzeit Archiv (Taktlog;Cycletime archive (cycle log;-;-;Archiv cyklu;Takttid arkiv (taktlogg;
Taktzeit eingeben;Enter cycle time;-;-;-;Mata in takttid;
Taktzeit in Min;Cycle time in min.;-;cycle time in min.;-;Takttid i min;
Taktzeit in Sek;Cycle time in sec.;-;-;-;Takttid i sek;
Taktzeit ist;ACT Cycle;-;-;-;-;
Taktzeit Schichtwechsel;Change of shift cycle time;-;-;-;Takttid skiftbyte;
Taktzeit soll;STD Cycle;-;-;-;-;
Taktzeit-Archiv automatisch löschen;Delete cycletime archive automatically;-;-;-;-;
Taktzeiten;Cycle times;Cyklustider;-;-;Takttider;
TAKTZEITEN;CYCLE TIMES;-;-;-;TAKTTIDER;
