DE;EN
SPEED_MAXDATUMZEIT;SPEED_MAXDATETIME
SPEED;SPEED
SPEC_ETIKETT_2;SPEC_LABEL_2
SPEC_ETIKETT;SPEC_LABEL
SPC_WERT;SPC_VALUE
SPC_STICHPROBEN;SPC_SAMPLES
SPC_STICH;SPC_SAMPLE
SPC_FELD;SPC_FIELD
SPC_BESCHREIBUNG;SPC_DESCRIPTION
SPC_AUSSCHALTEN;SPC_SWITCHEDOFF
SPCSTICH;SPCSAMPLE
SPCSCHICHT;SPCSHIFT
SPCMASCHSTAT;SPCMACHSTAT
SPCAUSC;SPCOUTC
SPCAUS;SPCOUT
SPCAKTIV;SPCACTIVE
SPC;SPC
SPANN_SPC_9;SPAN_SPC_9
SPANN_SPC_8;SPAN_SPC_8
SPANN_SPC_7;SPAN_SPC_7
SPANN_SPC_6;SPAN_SPC_6
SPANN_SPC_5;SPAN_SPC_5
SPANN_SPC_4;SPAN_SPC_4
SPANN_SPC_40;SPAN_SPC_40
SPANN_SPC_3;SPAN_SPC_3
SPANN_SPC_39;SPAN_SPC_39
SPANN_SPC_38;SPAN_SPC_38
SPANN_SPC_37;SPAN_SPC_37
SPANN_SPC_36;SPAN_SPC_36
SPANN_SPC_35;SPAN_SPC_35
SPANN_SPC_34;SPAN_SPC_34
SPANN_SPC_33;SPAN_SPC_33
SPANN_SPC_32;SPAN_SPC_32
SPANN_SPC_31;SPAN_SPC_31
SPANN_SPC_30;SPAN_SPC_30
SPANN_SPC_2;SPAN_SPC_2
SPANN_SPC_29;SPAN_SPC_29
SPANN_SPC_28;SPAN_SPC_28
SPANN_SPC_27;SPAN_SPC_27
SPANN_SPC_26;SPAN_SPC_26
SPANN_SPC_25;SPAN_SPC_25
SPANN_SPC_24;SPAN_SPC_24
SPANN_SPC_23;SPAN_SPC_23
SPANN_SPC_22;SPAN_SPC_22
SPANN_SPC_21;SPAN_SPC_21
SPANN_SPC_20;SPAN_SPC_20
SPANN_SPC_1;SPAN_SPC_1
SPANN_SPC_19;SPAN_SPC_19
SPANN_SPC_18;SPAN_SPC_18
SPANN_SPC_17;SPAN_SPC_17
SPANN_SPC_16;SPAN_SPC_16
SPANN_SPC_15;SPAN_SPC_15
SPANN_SPC_14;SPAN_SPC_14
SPANN_SPC_13;SPAN_SPC_13
SPANN_SPC_12;SPAN_SPC_12
SPANN_SPC_11;SPAN_SPC_11
SPANN_SPC_10;SPAN_SPC_10
SPANN_SPC_0;SPAN_SPC_0
SPANNTEMP2;SPANTEMP2
SPANNTEMP1;SPANTEMP1
SPANNSPRITZ;SPANINJ
SPANNSPEED;SPANSPEED
SPANNNACH;SPANPOST
SORT_ZUSTANDPANEL;SORT_STATUSPANEL
SORT_MASCHPANEL;SORT_MACHPANEL
SOLL_WERT5;STD_VALUE5
SOLL_WERT4;STD_VALUE4
SOLL_WERT3;STD_VALUE3
